timestamp,rssi,snr,sduid,muid,data,hops,latitude,longitude,altitude,gps_time
2024-11-23 19:18:36,-33.000000,9.500000,BEACON01,B353,Lt:35.32842 Lg:-120.7520 At:64.80 Tm:19:18:31,1,35.32846,-120.7520,65.00,19:18:36
2024-11-23 19:19:06,-31.000000,9.500000,BEACON01,DTVU,Lt:35.32842 Lg:-120.7520 At:64.80 Tm:19:19:1,1,35.32846,-120.7520,64.70,19:19:6
2024-11-23 19:19:36,-33.000000,9.250000,BEACON01,277Y,Lt:35.32842 Lg:-120.7520 At:65.20 Tm:19:19:31,1,35.32845,-120.7520,64.40,19:19:36
2024-11-23 19:20:06,-32.000000,9.500000,BEACON01,00TH,Lt:35.32843 Lg:-120.7520 At:65.00 Tm:19:20:1,1,35.32844,-120.7520,65.30,19:20:6
2024-11-23 19:20:36,-32.000000,9.500000,BEACON01,G88G,Lt:35.32844 Lg:-120.7520 At:65.00 Tm:19:20:31,1,35.32843,-120.7520,65.70,19:20:36
2024-11-23 19:21:06,-31.000000,10.000000,BEACON01,GE3V,Lt:35.32844 Lg:-120.7520 At:64.80 Tm:19:21:1,1,35.32845,-120.7520,68.10,19:21:6
2024-11-23 19:21:36,-33.000000,9.500000,BEACON01,NXBT,Lt:35.32844 Lg:-120.7520 At:65.20 Tm:19:21:31,1,35.32846,-120.7520,69.50,19:21:36
2024-11-23 19:22:06,-32.000000,9.750000,BEACON01,GZ13,Lt:35.32845 Lg:-120.7520 At:64.70 Tm:19:22:1,1,35.32847,-120.7520,68.80,19:22:6
2024-11-23 19:22:36,-33.000000,9.250000,BEACON01,4M7C,Lt:35.32845 Lg:-120.7520 At:64.90 Tm:19:22:31,1,35.32845,-120.7520,67.20,19:22:36
2024-11-23 19:23:06,-31.000000,9.750000,BEACON01,U2W0,Lt:35.32845 Lg:-120.7520 At:64.80 Tm:19:23:1,1,35.32845,-120.7520,64.80,19:23:6
2024-11-23 19:26:12,-75.000000,9.750000,BEACON01,W6OE,Lt:35.32843 Lg:-120.7520 At:66.20 Tm:19:26:1 RSSI:-85 SNR:9.250000Lt:0.00000 Lg:0.0000 At:0.00 TM:19:28:35,2,35.32843,-120.7521,69.60,19:26:11
2024-11-23 19:26:36,-33.000000,9.250000,BEACON01,K3W0,Lt:35.32843 Lg:-120.7520 At:66.50 Tm:19:26:31,1,35.32842,-120.7521,65.60,19:26:36
2024-11-23 19:27:06,-32.000000,10.000000,BEACON01,QMKM,Lt:35.32843 Lg:-120.7520 At:65.70 Tm:19:27:1,1,35.32847,-120.7520,67.50,19:27:6
2024-11-23 19:27:36,-33.000000,9.250000,BEACON01,KKI5,Lt:35.32843 Lg:-120.7520 At:66.10 Tm:19:27:31,1,35.32848,-120.7520,67.90,19:27:36
2024-11-23 19:28:06,-32.000000,10.000000,BEACON01,BKF0,Lt:35.32843 Lg:-120.7520 At:66.30 Tm:19:28:1,1,35.32845,-120.7521,67.10,19:28:6
2024-11-23 19:28:36,-33.000000,9.250000,BEACON01,349I,Lt:35.32843 Lg:-120.7520 At:66.50 Tm:19:28:31,1,35.32845,-120.7520,66.40,19:28:36
2024-11-23 19:29:06,-32.000000,10.000000,BEACON01,AVU9,Lt:35.32843 Lg:-120.7520 At:66.60 Tm:19:29:1,1,35.32846,-120.7520,64.70,19:29:6
2024-11-23 19:29:36,-33.000000,9.500000,BEACON01,F5LJ,Lt:35.32843 Lg:-120.7520 At:67.10 Tm:19:29:31,1,35.32845,-120.7520,65.80,19:29:36
2024-11-23 19:30:06,-32.000000,10.250000,BEACON01,7DY7,Lt:35.32843 Lg:-120.7520 At:67.50 Tm:19:30:1,1,35.32844,-120.7520,64.50,19:30:6
2024-11-23 19:30:36,-31.000000,9.000000,BEACON01,UQ3H,Lt:35.32843 Lg:-120.7520 At:67.10 Tm:19:30:31,1,35.32845,-120.7520,66.50,19:30:36
2024-11-23 19:31:06,-32.000000,10.250000,BEACON01,XV03,Lt:35.32843 Lg:-120.7520 At:66.40 Tm:19:31:1,1,35.32844,-120.7521,66.20,19:31:6
2024-11-23 19:31:36,-33.000000,9.500000,BEACON01,OSIA,Lt:35.32843 Lg:-120.7520 At:65.80 Tm:19:31:31,1,35.32844,-120.7521,67.00,19:31:36
2024-11-23 19:32:06,-31.000000,10.000000,BEACON01,LI7X,Lt:35.32843 Lg:-120.7520 At:65.90 Tm:19:32:1,1,35.32844,-120.7521,66.30,19:32:6
2024-11-23 19:32:36,-33.000000,9.000000,BEACON01,FBWX,Lt:35.32843 Lg:-120.7520 At:66.20 Tm:19:32:31,1,35.32844,-120.7520,64.10,19:32:36
2024-11-24 00:09:26,-39.000000,5.500000,BEACON02,HJGS,Lt:35.34440 Lg:-120.6428 At:620.31 Tm:0:9:17,1,35.34449,-120.6429,620.81,0:9:26
2024-11-24 00:09:36,-39.000000,6.000000,BEACON02,LXWN,Lt:35.34440 Lg:-120.6428 At:621.21 Tm:0:9:27,1,35.34450,-120.6429,621.91,0:9:36
2024-11-24 00:09:46,-39.000000,6.000000,BEACON02,0JZ8,Lt:35.34440 Lg:-120.6428 At:621.41 Tm:0:9:37,1,35.34450,-120.6429,622.31,0:9:46
2024-11-24 00:09:56,-42.000000,7.250000,BEACON02,R473,Lt:35.34440 Lg:-120.6428 At:621.61 Tm:0:9:47,1,35.34450,-120.6429,622.61,0:9:56
